order,page_type,slug,live_url,source_file,status,notes
1,cornerstone,va-home-loan-texas,https://bartlinglending.com/va-home-loan-texas/,,pending,"Parent VA cornerstone. TX-only. Check 50(a)(6): no VA cash-out in TX."
2,cornerstone,fha-loan-texas,https://bartlinglending.com/fha-loan-texas/,bartling-fha-loan-texas-v3.html,done,"v3 — Texas-only + 2026 FHA floor $541,287. Confirm high-cost county figs vs HUD."
3,cornerstone,va-construction-loan-texas,https://bartlinglending.com/va-construction-loan-texas/,bartling-va-construction-loan-texas-v4.html,done,"v4 — Texas-only. TX-only product; 4–5 draws."
4,cornerstone,conventional-mortgage-loan-texas,https://bartlinglending.com/conventional-mortgage-loan-texas/,,pending,"Conforming 2026 = $832,750. TX-only. Cash-out: conventional only on TX homesteads."
5,cornerstone,first-time-homebuyer-texas,https://bartlinglending.com/first-time-homebuyer-texas/,,pending,"TX-only. TSAHC/TDHCA DPA programs."
6,cornerstone,cash-out-refinance-mortgage-texas,https://bartlinglending.com/cash-out-refinance-mortgage-texas/,,pending,"TX-only. 50(a)(6): conventional cash-out only — VA/FHA cash-out prohibited on TX homesteads."
7,cornerstone,refinance-home-loan-texas,https://bartlinglending.com/refinance-home-loan-texas/,,pending,"TX-only."
8,cornerstone,home-equity-loan-texas,https://bartlinglending.com/home-equity-loan-texas/,,pending,"TX-only. HELOC/home equity under TX 50(a)(6) rules."
9,cornerstone,dscr-loan-texas,https://bartlinglending.com/dscr-loan-texas/,,pending,"Offered. Market TX-only (never 'Non-QM'; never '30+ states')."
10,cornerstone,residential-construction-loan-texas,https://bartlinglending.com/residential-construction-loan-texas/,,pending,"Offered. Market TX-only. 4–5 draws; no TX state GC license."
11,cornerstone,bank-statement-loan-texas,https://bartlinglending.com/bank-statement-loan-texas/,,pending,"TX-only."
12,cornerstone,reverse-mortgage-texas,https://bartlinglending.com/reverse-mortgage-texas/,,pending,"TX-only. Senior audience — keep tone careful."
13,cornerstone,fix-and-flip-texas,https://bartlinglending.com/fix-and-flip-texas/,,pending,"OFFERED (confirmed June 2026). Market TX-only. Remove any /contact-us/ redirect burying it."
14,cornerstone,commercial-long-term-loans,https://bartlinglending.com/commercial-long-term-loans/,,pending,"OFFERED. Remove old redirect → /contact-us/ so page serves. Market TX-only."
15,cornerstone,commercial-mortgage,https://bartlinglending.com/commercial-mortgage/,,pending,"OFFERED. Possible duplicate of commercial-long-term-loans — flag if so."
16,hub,san-antonio,https://bartlinglending.com/san-antonio-mortgage/,bartling-san-antonio-hub-v2.html,pending,"Hub. Strip '30+ states'. Military market (JBSA)."
17,hub,austin,https://bartlinglending.com/austin-mortgage/,bartling-austin-hub-v2.html,pending,"Hub. Strip '30+ states'. Travis high-cost FHA — confirm figure."
18,city,va-home-loan-killeen-tx,https://bartlinglending.com/va-home-loan-killeen-tx/,,done,"Built this session. Fort Hood naming preserved."
19,city,fha-loan-houston-tx,https://bartlinglending.com/fha-loan-houston-tx/,bartling-fha-houston-tx.html,pending,"City page. 2026 FHA floor $541,287; Harris high-cost? confirm."
20,city,refinance-houston-tx,https://bartlinglending.com/refinance-houston-tx/,bartling-refinance-houston.html,pending,"City page. Confirm slug matches live."
21,city,first-time-homebuyer-san-antonio-tx,https://bartlinglending.com/first-time-homebuyer-san-antonio-tx/,bartling-first-time-homebuyer-san-antonio.html,pending,"City page. Confirm slug matches live."
22,calculator,mortgage-calculator,https://bartlinglending.com/mortgage-calculator/,,pending,"WPCode JS SNIPPET (not Custom HTML). Property tax default → 2.5%. No && in JS."
23,redirect-only,california-mortgage,https://bartlinglending.com/california-mortgage/,,skip,"ABANDONED out-of-state hub. DO NOT edit — 301 → homepage (see redirect CSV)."
24,redirect-only,florida-mortgage,https://bartlinglending.com/florida-mortgage/,,skip,"ABANDONED. 301 → homepage."
